Domain_Capacity,Project_Capacity,Project,Research_Coopreative,Project_Construction_Direction,Outcomes_Num,Project_Period,Investment_Funding,Project_Key_Point,Project_Plan,Project_Milestone,Project_Risk,Performance_Indicators,Project_Description,Project_Capacity_Description
火力打击体系,火力密集,火力调度系统,401所,渤海,提交标准草案不少于5,3年,1300万,立项和需求确认,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,资金不足；项目架构变动；设计问题,提升无线系统的确定性容量 1 个数量级以上，提升频谱或功率等资源综合效率 5 倍以上；降低系统干扰 3dB 以上；,,提升无线系统的确定性容量
火力打击体系,火力密集,指挥控制系统,空天信息所,珠海,提交国际国内标准技术提案8篇以上,3年,950万,立项和需求确认,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,恶意竞争；工期冲突；建设流程,实现智能与通信在网络内的深度融合，支持 6G业务应用，实现网络智能化管理，智简网络侧传输能力提升 1 倍以上，资源利用效提升 1 倍以上,,从智简角度完成对网络架构的重新设计，形成成针对 6G 需求的智简网络架构方案
火力打击体系,火力覆盖,卫星监视系统,中科院软件所,东海,发表高水平论文8份以上,4年,850万,质量检验和验收,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,市场需求变化；技术壁垒；场地环境,超大连接场景下，与密码学轻量级算法相比，安全计算复杂度降低 50%，超高吞吐量通信场景下，信道密钥符合国标，生成速率不低于 10Mbps，符合国标,,超大连接场景下，与密码学轻量级算法相比，安全计算复杂度降低
火力打击体系,火力覆盖,无人飞行器,自动化所,渤海,申请发明专利9份以上,2年,800万,试运行和运营交接,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,市场需求变化；人力资源不足；设计问题,所提出的移动通信网络“双碳”理论、方法和评估标准须满足未来 6G 业务需求,,所提出的移动通信网络“双碳”理论、方法和评估标准须满足未来 6G 业务需求
火力打击体系,火力覆盖,多传感器集成系统,航天二院,南海,申请专利不少于 20 篇，其中国际专利 10 篇以上,4年,1300万,立项和需求确认,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,资金不足；项目架构变动；设计问题,形成集成通信、感知、无线传能和计算一体化的系统设计和关键技术方案，单簇下行峰值吞吐量达到每秒太比特，系统感知精度达到厘米级，5 米距离处的传能功率达到毫瓦级,,形成集成通信、感知、无线传能和计算一体化的系统设计和关键技术方案
火力打击体系,火力覆盖,快速部署火力单位,信工所,渤海,研制报告4份,3年,700万,试运行和运营交接,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,市场需求变化；项目架构变动；场地环境,至少包括极轨和倾斜轨两种星座构型，星座总规模不低于 40000 颗，且支持扩展，其中卫星数量在 500 颗以内时的路由收敛时间不大于 60s，卫星数量在500-1500 颗以内的路由收敛时间不大于 90s，最短转发路径占比达 90%以上；支持不大于 20ms 的星上故障路径切换时延和不大于 50ms 的最优备份路径计算时延,,多维时空基准的编址与路由支持多种星座构型的大规模低轨星座
火力打击体系,火力压制,自动化火力控制系统,航天二院,东海,提交标准草案不少于5,2年,600万,质量检验和验收,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,恶意竞争；工期冲突；验收流程,建立基于星地融合协同接入与传输技术的体系架构，支持Ka、C 等频段，星地同频共享谱段资源态势预测准确率不小于 90%，99%干扰噪声比（INR）不大于-10dB，卫星系统下行峰值速率提升 100%以上、下行平均频谱效率提升 30%以上，上行峰值速率提升 50%以上、上行平均频谱效率提升 15%以上；设计星地跨域多维度资源联合调度方案，提升星地融合网络通信容量 50%以上，低轨卫星波束接入速度提升 50%，资源联合调度复杂度提升不超过 30%；Ka 频段下物理层安全机制保障卫星有效覆盖区5公里外非合作用户误码率可达 50%，合法用户频谱效率损失，不超过 10%,,建立基于星地融合协同接入与传输技术的体系架构
火力打击体系,火力压制,迫击炮,计算所,南海,需申请专利或登记软件著作权 15 项，提供半实物地面演示系统 1 套,2年,700万,质量检验和验收,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,预算超支；物资供应延迟；建设流程,原理样机浮点运算能力不小于 2TFLOPS，存储能力不小于 10Tbit，重量小于10 公斤，常态功耗不大于 100W,,协同容错计算平台支持开放式计算存储架构
火力打击体系,火力压制,机枪,空天信息所,渤海,申请软件著作权大于17项,3年,700万,试运行和运营交接,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,资金不足；人力资源不足；建设流程,建立语义通信质量评价体系，典型业务服务质量相比于现有 5G 通信系统大幅提升，或在相同服务质量条件下传输效率提高 50%以上,,针对未来 6G 智能应用典型场景和多模态业务复杂需求，开展新型无线网络架构与传输方法研究
火力打击体系,火力压制,火箭炮,计算所,南海,申请软件著作权大于17项,2年,800万,质量检验和验收,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,资金不足；技术壁垒；场地环境,其性能相比传统数字反向传输非线性补偿方法相当且复杂度降低到传统数字反向传输方法的10%以下，形成逼近单模光纤通信系统理容量限的设计方法和算法体系，在扩展 C+L 波段范围内（1524nm—1627nm）完成传输容量不小于 100Tb/s 、传输距离不少于 1000 里的单模光纤光传输理论验证实验系统,,形成超高速单模光纤光传输系统物理损伤理论与仿真模型，给出非线性约束下的理论容量限制
火力打击体系,火力压制,电子战系统,401所,东海,发表高水平论文8份以上,2年,800万,试运行和运营交接,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,预算超支；工期冲突；建设流程,空芯光纤波长覆盖 S+C+L+U 波段（1450—1680nm），在 C+L 波段范围内最小传输损耗≤0.4dB/km，S 波段范围内最小传输损耗≤0.8dB/km，U 波段范围内最小传输损耗≤0.6dB/km，在整个波段范围内最大传输损耗≤1dB/km。空芯光纤熔接损耗≤1dB，与单模光纤连接损耗≤0.8dB，基于自研空芯光纤及连接器，实现超大容量、高频谱效率空芯光纤通信系统，系统总传输容量≥260Tbit/s，系统频谱效率≥10bit/s/Hz，传输距离≥50km。,,研制超低非线性、低损耗空芯光纤及连接器件
火力打击体系,火力压制,信息对抗技术,计算所,珠海,申请发明专利不少于 20 项，其中国际专利不少于 5项，提交CCSA标准提案不少于 2 项,3年,800万,试运行和运营交接,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,资金不足；物资供应延迟；建设流程,采用新型低功耗低复杂度相干光传输技术实现单波速率不低于 1.2Tb/s 的 2～10km 数据中心光互连原型系统,,采用新型低功耗低复杂度相干光传输技术
火力打击体系,火力突击,快速机动力量,401所,东海,申请不少于 15 项国内发明专利，提交不少于 5 篇国际国内标准技术提案。,3年,950万,质量检验和验收,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,预算超支；工期冲突；验收流程,网络节点数大于200个、传输速率不低于100Gb/s、波长范围 C+L，传输速率不低于100Gb/s、波长范围 C+L，关键参量指标数量不少于 50 个，实时感知性达到亚秒级≥10 种,,研发光网络数字孪生平台，实现高速大容量光纤传输系统的数字孪生，建立从器件到网络业务的多层次孪生模型      
火力打击体系,火力突击,远程打击系统,401所,东海,申请不少于 15 项国内发明专利，国际专利不少于 5 项,2年,1300万,试运行和运营交接,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,市场需求变化；项目架构变动；设计问题,实现非极端海洋大气环境下大陆及岛礁平台间速率不低于 40Gbps、距离不小于 20km 的高速空间激光通信，实现水下不小于 10km 范围内光纤通道与纤/无线光融合光通信节点的快速按需布放，布放时间不大于30 分钟，系统容量达到 10Gbps,,完成海洋大气环境长距离大容量空间激光通信系统
火力打击体系,火力突击,侦察与监视技术,自动化所,东海,申请发明专利 5 项以上,2年,650万,立项和需求确认,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,资金不足；人力资源不足；工人技术能力,实现单波长CPRI 等效速率≥2Tb/s，传输距离≥10 公里，EVM≤2.5%,,形成光与无线融合信道通信理论，构建光与无线融合前传系统
